Date : 2024-07-20 01:06:24
Directory : /home/copi143/代码/Plant-OS
Total : 4976 files,  1440650 codes, 334737 comments, 246939 blanks, all 2022326 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |      3,620 |  1,208,753 |    321,772 |    213,019 |  1,743,544 |
| C++            |        242 |    125,017 |      5,964 |     19,345 |    150,326 |
| Assembler file |        411 |     52,641 |          0 |      4,621 |     57,262 |
| Objective-C    |         76 |     26,159 |      4,103 |      5,429 |     35,691 |
| Perl           |        206 |      7,474 |      1,337 |        972 |      9,783 |
| Lua            |         54 |      5,553 |        407 |      1,232 |      7,192 |
| JSON           |        175 |      4,661 |          0 |        174 |      4,835 |
| Makefile       |         82 |      2,493 |        267 |        491 |      3,251 |
| Markdown       |         41 |      2,277 |         70 |        980 |      3,327 |
| cmake          |          5 |      1,888 |          0 |        174 |      2,062 |
| Python         |          7 |        926 |         61 |        161 |      1,148 |
| Visual Basic   |         17 |        638 |          2 |        156 |        796 |
| XML            |          5 |        556 |          2 |          2 |        560 |
| HTML           |          4 |        526 |          5 |         58 |        589 |
| YAML           |          9 |        523 |        633 |         25 |      1,181 |
| Shell Script   |         12 |        307 |         81 |         78 |        466 |
| CSS            |          2 |        162 |          5 |          7 |        174 |
| Batch          |          4 |         91 |          4 |         10 |        105 |
| Properties     |          4 |          5 |         24 |          5 |         34 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |      4,976 |  1,440,650 |    334,737 |    246,939 |  2,022,326 |
| . (Files)                                                                                          |          5 |        366 |        313 |         54 |        733 |
| apps                                                                                               |      4,770 |  1,407,634 |    330,075 |    244,675 |  1,982,384 |
| apps (Files)                                                                                       |          2 |         78 |          0 |          4 |         82 |
| apps/Maze                                                                                          |          2 |        182 |          7 |         37 |        226 |
| apps/SDL2_image                                                                                    |         21 |     13,615 |      1,822 |      2,075 |     17,512 |
| apps/SDL2_ttf                                                                                      |          3 |      3,503 |      2,402 |        687 |      6,592 |
| apps/aigobang                                                                                      |          2 |      2,166 |        160 |         30 |      2,356 |
| apps/bainian                                                                                       |          2 |        124 |        138 |          2 |        264 |
| apps/basic                                                                                         |          2 |        676 |         68 |         51 |        795 |
| apps/bfpp                                                                                          |          2 |        154 |          0 |          7 |        161 |
| apps/bim2hrb                                                                                       |          2 |        145 |         34 |         13 |        192 |
| apps/bitz                                                                                          |          2 |         76 |        158 |         34 |        268 |
| apps/brainfuck                                                                                     |          2 |        100 |          1 |          2 |        103 |
| apps/c4                                                                                            |          2 |        512 |         12 |         30 |        554 |
| apps/cal                                                                                           |          2 |        107 |          0 |          1 |        108 |
| apps/calc                                                                                          |          2 |        222 |         13 |         28 |        263 |
| apps/cc                                                                                            |          2 |         51 |          3 |          2 |         56 |
| apps/cgobang                                                                                       |          2 |        231 |          0 |          3 |        234 |
| apps/chat                                                                                          |          2 |         69 |          1 |          2 |         72 |
| apps/clock                                                                                         |          2 |         82 |          3 |          3 |         88 |
| apps/copy                                                                                          |          2 |         41 |          0 |          1 |         42 |
| apps/doomcpy                                                                                       |          2 |         71 |          0 |          1 |         72 |
| apps/doomgeneric                                                                                   |        190 |     46,031 |     12,522 |     13,385 |     71,938 |
| apps/duktape                                                                                       |         11 |     75,243 |     22,652 |     13,533 |    111,428 |
| apps/edit                                                                                          |          2 |        201 |         16 |          3 |        220 |
| apps/editor                                                                                        |          2 |      1,092 |        122 |         43 |      1,257 |
| apps/freetype                                                                                      |        411 |    108,712 |     49,283 |     37,959 |    195,954 |
| apps/freetype (Files)                                                                              |          1 |         40 |          0 |          2 |         42 |
| apps/freetype/include                                                                              |         93 |      8,975 |     23,566 |      4,821 |     37,362 |
| apps/freetype/include (Files)                                                                      |          1 |          4 |         32 |          9 |         45 |
| apps/freetype/include/freetype                                                                     |         92 |      8,971 |     23,534 |      4,812 |     37,317 |
| apps/freetype/include/freetype (Files)                                                             |         44 |      3,774 |     16,535 |      2,118 |     22,427 |
| apps/freetype/include/freetype/config                                                              |          5 |        461 |      1,691 |        432 |      2,584 |
| apps/freetype/include/freetype/internal                                                            |         43 |      4,736 |      5,308 |      2,262 |     12,306 |
| apps/freetype/include/freetype/internal (Files)                                                    |         23 |      4,060 |      4,841 |      1,809 |     10,710 |
| apps/freetype/include/freetype/internal/services                                                   |         20 |        676 |        467 |        453 |      1,596 |
| apps/freetype/src                                                                                  |        317 |     99,697 |     25,717 |     33,136 |    158,550 |
| apps/freetype/src/autofit                                                                          |         35 |     12,422 |      2,691 |      3,851 |     18,964 |
| apps/freetype/src/base                                                                             |         41 |     14,225 |      3,034 |      5,302 |     22,561 |
| apps/freetype/src/cache                                                                            |         17 |      2,902 |        874 |      1,165 |      4,941 |
| apps/freetype/src/cff                                                                              |         15 |      5,426 |      1,062 |      1,750 |      8,238 |
| apps/freetype/src/cid                                                                              |         13 |      1,817 |        629 |        716 |      3,162 |
| apps/freetype/src/gxvalid                                                                          |         30 |      5,522 |      1,653 |      2,017 |      9,192 |
| apps/freetype/src/otvalid                                                                          |         14 |      2,913 |        826 |      1,375 |      5,114 |
| apps/freetype/src/pfr                                                                              |         15 |      2,814 |        658 |      1,032 |      4,504 |
| apps/freetype/src/psaux                                                                            |         37 |     11,800 |      3,631 |      3,988 |     19,419 |
| apps/freetype/src/pshinter                                                                         |         10 |      3,214 |        691 |      1,153 |      5,058 |
| apps/freetype/src/psnames                                                                          |          5 |      4,596 |        159 |        214 |      4,969 |
| apps/freetype/src/raster                                                                           |          7 |      2,068 |        953 |        815 |      3,836 |
| apps/freetype/src/sfnt                                                                             |         29 |      8,592 |      2,272 |      3,018 |     13,882 |
| apps/freetype/src/smooth                                                                           |          6 |      1,649 |        404 |        571 |      2,624 |
| apps/freetype/src/truetype                                                                         |         16 |     13,044 |      4,600 |      3,901 |     21,545 |
| apps/freetype/src/type1                                                                            |         15 |      4,097 |      1,055 |      1,349 |      6,501 |
| apps/freetype/src/type42                                                                           |          9 |      1,637 |        400 |        593 |      2,630 |
| apps/freetype/src/winfonts                                                                         |          3 |        959 |        125 |        326 |      1,410 |
| apps/gui                                                                                           |         19 |     10,098 |      1,837 |      1,386 |     13,321 |
| apps/hexview                                                                                       |          2 |        202 |         11 |          3 |        216 |
| apps/image                                                                                         |          4 |      7,771 |      1,658 |      1,259 |     10,688 |
| apps/include                                                                                       |         66 |     18,466 |      6,656 |      2,240 |     27,362 |
| apps/include (Files)                                                                               |         45 |     16,125 |      5,089 |      1,257 |     22,471 |
| apps/include/bits                                                                                  |         18 |      2,018 |      1,408 |        906 |      4,332 |
| apps/include/dlg                                                                                   |          2 |        239 |        159 |         66 |        464 |
| apps/include/sys                                                                                   |          1 |         84 |          0 |         11 |         95 |
| apps/init                                                                                          |          2 |        152 |          2 |          3 |        157 |
| apps/invader                                                                                       |          5 |      1,057 |         14 |         98 |      1,169 |
| apps/jpeg                                                                                          |         56 |     22,224 |      8,844 |      5,295 |     36,363 |
| apps/kcube                                                                                         |          5 |      1,003 |          6 |         88 |      1,097 |
| apps/libp                                                                                          |         18 |      9,420 |        743 |        763 |     10,926 |
| apps/libpng                                                                                        |         24 |     24,360 |      8,277 |      5,389 |     38,026 |
| apps/libutf                                                                                        |         44 |      2,147 |         43 |        255 |      2,445 |
| apps/libutf (Files)                                                                                |          3 |        114 |          2 |         32 |        148 |
| apps/libutf/include                                                                                |          1 |         58 |          1 |         12 |         71 |
| apps/libutf/runestr                                                                                |          9 |        122 |          9 |         38 |        169 |
| apps/libutf/runetype                                                                               |         17 |      1,450 |         15 |         43 |      1,508 |
| apps/libutf/test                                                                                   |          5 |        172 |          5 |         42 |        219 |
| apps/libutf/utf                                                                                    |          9 |        231 |         11 |         88 |        330 |
| apps/lite-1.11                                                                                     |        117 |     20,987 |      2,432 |      4,614 |     28,033 |
| apps/lite-1.11 (Files)                                                                             |          5 |      1,469 |          2 |         20 |      1,491 |
| apps/lite-1.11/.github                                                                             |          1 |          1 |          1 |          2 |          4 |
| apps/lite-1.11/data                                                                                |         44 |      4,423 |         98 |      1,054 |      5,575 |
| apps/lite-1.11/data/core                                                                           |         25 |      3,258 |         56 |        806 |      4,120 |
| apps/lite-1.11/data/core (Files)                                                                   |         16 |      2,105 |         41 |        534 |      2,680 |
| apps/lite-1.11/data/core/commands                                                                  |          5 |        656 |          0 |        119 |        775 |
| apps/lite-1.11/data/core/doc                                                                       |          4 |        497 |         15 |        153 |        665 |
| apps/lite-1.11/data/plugins                                                                        |         16 |      1,110 |         36 |        237 |      1,383 |
| apps/lite-1.11/data/user                                                                           |          3 |         55 |          6 |         11 |         72 |
| apps/lite-1.11/data/user (Files)                                                                   |          1 |          3 |          6 |          5 |         14 |
| apps/lite-1.11/data/user/colors                                                                    |          2 |         52 |          0 |          6 |         58 |
| apps/lite-1.11/lua52                                                                               |         57 |     14,004 |      2,291 |      3,273 |     19,568 |
| apps/lite-1.11/src                                                                                 |         10 |      1,090 |         40 |        265 |      1,395 |
| apps/lite-1.11/src (Files)                                                                         |          5 |        590 |         31 |        164 |        785 |
| apps/lite-1.11/src/api                                                                             |          5 |        500 |          9 |        101 |        610 |
| apps/lox                                                                                           |         22 |      2,632 |      2,024 |        333 |      4,989 |
| apps/lox (Files)                                                                                   |          2 |         14 |          0 |          2 |         16 |
| apps/lox/lox                                                                                       |         20 |      2,618 |      2,024 |        331 |      4,973 |
| apps/lsh                                                                                           |         22 |      3,027 |      1,326 |        467 |      4,820 |
| apps/lua                                                                                           |         69 |     22,930 |      5,566 |      5,072 |     33,568 |
| apps/lua (Files)                                                                                   |          4 |         26 |          0 |          3 |         29 |
| apps/lua/lua                                                                                       |         65 |     22,904 |      5,566 |      5,069 |     33,539 |
| apps/minewep                                                                                       |          2 |        208 |         13 |          5 |        226 |
| apps/miniset                                                                                       |          7 |      1,207 |        118 |         33 |      1,358 |
| apps/minizip                                                                                       |         14 |      5,042 |        944 |      1,161 |      7,147 |
| apps/mmake                                                                                         |          3 |         24 |          0 |          8 |         32 |
| apps/my_basic-master                                                                               |         30 |     18,591 |        820 |      4,092 |     23,503 |
| apps/my_basic-master (Files)                                                                       |          7 |        687 |          5 |         95 |        787 |
| apps/my_basic-master/.github                                                                       |          1 |         13 |          0 |          5 |         18 |
| apps/my_basic-master/.github/workflows                                                             |          1 |         13 |          0 |          5 |         18 |
| apps/my_basic-master/core                                                                          |          2 |     15,952 |        716 |      3,501 |     20,169 |
| apps/my_basic-master/resource                                                                      |          1 |          9 |          6 |          2 |         17 |
| apps/my_basic-master/sample                                                                        |         18 |        673 |          2 |        182 |        857 |
| apps/my_basic-master/sample (Files)                                                                |          8 |        197 |          2 |         50 |        249 |
| apps/my_basic-master/sample/yard                                                                   |         10 |        476 |          0 |        132 |        608 |
| apps/my_basic-master/shell                                                                         |          1 |      1,257 |         91 |        307 |      1,655 |
| apps/nasm-master                                                                                   |      1,087 |    203,919 |     42,760 |     23,188 |    269,867 |
| apps/nasm-master (Files)                                                                           |          7 |        567 |        149 |        130 |        846 |
| apps/nasm-master/Mkfiles                                                                           |          2 |        545 |        123 |        124 |        792 |
| apps/nasm-master/asm                                                                               |         39 |     36,150 |      4,677 |      2,858 |     43,685 |
| apps/nasm-master/common                                                                            |          1 |         18 |         42 |          6 |         66 |
